Name;Aktuierung Bein 1;;;;;Aktuierung Bein 2;;;;;Aktuierung Bein 3;;;;;Rangverlust Plattform-FG;Wertebereich Winkel1
P3RRRRR6V1G1P1A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;2;
P3RRRRR6V1G1P1A4;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;
P3RRRRR6V1G1P3A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;
P3RRRRR6V1G1P3A4;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;
P3RRRRR6V1G2P2A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;
P3RRRRR6V1G2P2A4;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;
P3RRRRR6V1G2P3A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;
P3RRRRR6V1G2P3A4;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;
P3RRRRR6V1G2P8A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;2;
P3RRRRR6V1G2P8A2;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;
P3RRRRR6V1G3P1A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;2;
P3RRRRR6V1G3P3A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;
P3RRRRR6V1G3P3A4;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;
P3RRRRR6V1G4P1A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;2;
P3RRRRR6V1G4P3A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;
P3RRRRR6V1G9P2A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;
P3RRRRR6V1G9P2A2;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;
P3RRRRR6V1G9P3A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;
P3RRRRR6V1G9P3A2;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;
P3RRRRR6V1G9P8A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;2;
P3RRRRR6V1G9P8A2;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;
