Beinkette;Anzahl_Beinketten;G_Methode;P_Methode;Status;Anzahl_Akt
S5PPPRR1V1;5;1;1;1;0
S5PPPRR1V1;5;1;2;1;0
S5PPPRR1V1;5;1;3;1;0
S5PPPRR1V1;5;1;8;1;0
S5PPPRR1V1;5;2;1;1;0
S5PPPRR1V1;5;2;2;1;0
S5PPPRR1V1;5;2;3;1;0
S5PPPRR1V1;5;2;8;1;0
S5PPPRR1V1;5;3;1;1;0
S5PPPRR1V1;5;3;2;1;0
S5PPPRR1V1;5;3;3;1;0
S5PPPRR1V1;5;3;8;1;0
S5PPPRR1V1;5;4;1;1;0
S5PPPRR1V1;5;4;2;1;0
S5PPPRR1V1;5;4;3;1;0
S5PPPRR1V1;5;4;8;1;0
S5PPPRR1V1;5;9;1;1;0
S5PPPRR1V1;5;9;2;1;0
S5PPPRR1V1;5;9;3;1;0
S5PPPRR1V1;5;9;8;1;0
S5PPPRR1V2;5;1;1;1;0
S5PPPRR1V2;5;1;2;1;0
S5PPPRR1V2;5;1;3;1;0
S5PPPRR1V2;5;1;8;1;0
S5PPPRR1V2;5;2;1;1;0
S5PPPRR1V2;5;2;2;1;0
S5PPPRR1V2;5;2;3;1;0
S5PPPRR1V2;5;2;8;1;0
S5PPPRR1V2;5;3;1;1;0
S5PPPRR1V2;5;3;2;1;0
S5PPPRR1V2;5;3;3;1;0
S5PPPRR1V2;5;3;8;1;0
S5PPPRR1V2;5;4;1;1;0
S5PPPRR1V2;5;4;2;1;0
S5PPPRR1V2;5;4;3;1;0
S5PPPRR1V2;5;4;8;1;0
S5PPPRR1V2;5;9;1;1;0
S5PPPRR1V2;5;9;2;1;0
S5PPPRR1V2;5;9;3;1;0
S5PPPRR1V2;5;9;8;1;0
S5PPPRR1V3;5;1;1;1;0
S5PPPRR1V3;5;1;2;1;0
S5PPPRR1V3;5;1;3;1;0
S5PPPRR1V3;5;1;8;1;0
S5PPPRR1V3;5;2;1;1;0
S5PPPRR1V3;5;2;2;1;0
S5PPPRR1V3;5;2;3;1;0
S5PPPRR1V3;5;2;8;1;0
S5PPPRR1V3;5;3;1;1;0
S5PPPRR1V3;5;3;2;1;0
S5PPPRR1V3;5;3;3;1;0
S5PPPRR1V3;5;3;8;1;0
S5PPPRR1V3;5;4;1;1;0
S5PPPRR1V3;5;4;2;1;0
S5PPPRR1V3;5;4;3;1;0
S5PPPRR1V3;5;4;8;1;0
S5PPPRR1V3;5;9;1;1;0
S5PPPRR1V3;5;9;2;1;0
S5PPPRR1V3;5;9;3;1;0
S5PPPRR1V3;5;9;8;1;0
S5PPPRR2V1;5;1;1;1;0
S5PPPRR2V1;5;1;2;1;0
S5PPPRR2V1;5;1;3;1;0
S5PPPRR2V1;5;1;8;1;0
S5PPPRR2V1;5;2;1;1;0
S5PPPRR2V1;5;2;2;1;0
S5PPPRR2V1;5;2;3;1;0
S5PPPRR2V1;5;2;8;1;0
S5PPPRR2V1;5;3;1;1;0
S5PPPRR2V1;5;3;2;1;0
S5PPPRR2V1;5;3;3;1;0
S5PPPRR2V1;5;3;8;1;0
S5PPPRR2V1;5;4;1;1;0
S5PPPRR2V1;5;4;2;1;0
S5PPPRR2V1;5;4;3;1;0
S5PPPRR2V1;5;4;8;1;0
S5PPPRR2V1;5;9;1;1;0
S5PPPRR2V1;5;9;2;1;0
S5PPPRR2V1;5;9;3;1;0
S5PPPRR2V1;5;9;8;1;0
S5PPPRR2V2;5;1;1;1;0
S5PPPRR2V2;5;1;2;1;0
S5PPPRR2V2;5;1;3;1;0
S5PPPRR2V2;5;1;8;1;0
S5PPPRR2V2;5;2;1;1;0
S5PPPRR2V2;5;2;2;1;0
S5PPPRR2V2;5;2;3;1;0
S5PPPRR2V2;5;2;8;1;0
S5PPPRR2V2;5;3;1;1;0
S5PPPRR2V2;5;3;2;1;0
S5PPPRR2V2;5;3;3;1;0
S5PPPRR2V2;5;3;8;1;0
S5PPPRR2V2;5;4;1;1;0
S5PPPRR2V2;5;4;2;1;0
S5PPPRR2V2;5;4;3;1;0
S5PPPRR2V2;5;4;8;1;0
S5PPPRR2V2;5;9;1;1;0
S5PPPRR2V2;5;9;2;1;0
S5PPPRR2V2;5;9;3;1;0
S5PPPRR2V2;5;9;8;1;0
S5PPPRR2V3;5;1;1;1;0
S5PPPRR2V3;5;1;2;1;0
S5PPPRR2V3;5;1;3;1;0
S5PPPRR2V3;5;1;8;1;0
S5PPPRR2V3;5;2;1;1;0
S5PPPRR2V3;5;2;2;1;0
S5PPPRR2V3;5;2;3;1;0
S5PPPRR2V3;5;2;8;1;0
S5PPPRR2V3;5;3;1;1;0
S5PPPRR2V3;5;3;2;1;0
S5PPPRR2V3;5;3;3;1;0
S5PPPRR2V3;5;3;8;1;0
S5PPPRR2V3;5;4;1;1;0
S5PPPRR2V3;5;4;2;1;0
S5PPPRR2V3;5;4;3;1;0
S5PPPRR2V3;5;4;8;1;0
S5PPPRR2V3;5;9;1;1;0
S5PPPRR2V3;5;9;2;1;0
S5PPPRR2V3;5;9;3;1;0
S5PPPRR2V3;5;9;8;1;0
S5PPPRR2V4;5;1;1;1;0
S5PPPRR2V4;5;1;2;1;0
S5PPPRR2V4;5;1;3;1;0
S5PPPRR2V4;5;1;8;1;0
S5PPPRR2V4;5;2;1;1;0
S5PPPRR2V4;5;2;2;1;0
S5PPPRR2V4;5;2;3;1;0
S5PPPRR2V4;5;2;8;1;0
S5PPPRR2V4;5;3;1;1;0
S5PPPRR2V4;5;3;2;1;0
S5PPPRR2V4;5;3;3;1;0
S5PPPRR2V4;5;3;8;1;0
S5PPPRR2V4;5;4;1;1;0
S5PPPRR2V4;5;4;2;1;0
S5PPPRR2V4;5;4;3;1;0
S5PPPRR2V4;5;4;8;1;0
S5PPPRR2V4;5;9;1;1;0
S5PPPRR2V4;5;9;2;1;0
S5PPPRR2V4;5;9;3;1;0
S5PPPRR2V4;5;9;8;1;0
S5PPPRR2V5;5;1;1;1;0
S5PPPRR2V5;5;1;2;1;0
S5PPPRR2V5;5;1;3;1;0
S5PPPRR2V5;5;1;8;1;0
S5PPPRR2V5;5;2;1;1;0
S5PPPRR2V5;5;2;2;1;0
S5PPPRR2V5;5;2;3;1;0
S5PPPRR2V5;5;2;8;1;0
S5PPPRR2V5;5;3;1;1;0
S5PPPRR2V5;5;3;2;1;0
S5PPPRR2V5;5;3;3;1;0
S5PPPRR2V5;5;3;8;1;0
S5PPPRR2V5;5;4;1;1;0
S5PPPRR2V5;5;4;2;1;0
S5PPPRR2V5;5;4;3;1;0
S5PPPRR2V5;5;4;8;1;0
S5PPPRR2V5;5;9;1;1;0
S5PPPRR2V5;5;9;2;1;0
S5PPPRR2V5;5;9;3;1;0
S5PPPRR2V5;5;9;8;1;0
S5PPRPR3V1;5;1;1;1;0
S5PPRPR3V1;5;1;2;1;0
S5PPRPR3V1;5;1;3;1;0
S5PPRPR3V1;5;1;8;1;0
S5PPRPR3V1;5;2;1;1;0
S5PPRPR3V1;5;2;2;1;0
S5PPRPR3V1;5;2;3;1;0
S5PPRPR3V1;5;2;8;1;0
S5PPRPR3V1;5;3;1;1;0
S5PPRPR3V1;5;3;2;1;0
S5PPRPR3V1;5;3;3;1;0
S5PPRPR3V1;5;3;8;1;0
S5PPRPR3V1;5;4;1;1;0
S5PPRPR3V1;5;4;2;1;0
S5PPRPR3V1;5;4;3;1;0
S5PPRPR3V1;5;4;8;1;0
S5PPRPR3V1;5;9;1;1;0
S5PPRPR3V1;5;9;2;1;0
S5PPRPR3V1;5;9;3;1;0
S5PPRPR3V1;5;9;8;1;0
S5PPRRP1V1;5;1;1;1;0
S5PPRRP1V1;5;1;2;1;0
S5PPRRP1V1;5;1;3;1;0
S5PPRRP1V1;5;1;8;1;0
S5PPRRP1V1;5;2;1;1;0
S5PPRRP1V1;5;2;2;1;0
S5PPRRP1V1;5;2;3;1;0
S5PPRRP1V1;5;2;8;1;0
S5PPRRP1V1;5;3;1;1;0
S5PPRRP1V1;5;3;2;1;0
S5PPRRP1V1;5;3;3;1;0
S5PPRRP1V1;5;3;8;1;0
S5PPRRP1V1;5;4;1;1;0
S5PPRRP1V1;5;4;2;1;0
S5PPRRP1V1;5;4;3;1;0
S5PPRRP1V1;5;4;8;1;0
S5PPRRP1V1;5;9;1;1;0
S5PPRRP1V1;5;9;2;1;0
S5PPRRP1V1;5;9;3;1;0
S5PPRRP1V1;5;9;8;1;0
S5PPRRP2V1;5;1;1;1;0
S5PPRRP2V1;5;1;2;1;0
S5PPRRP2V1;5;1;3;1;0
S5PPRRP2V1;5;1;8;1;0
S5PPRRP2V1;5;2;1;1;0
S5PPRRP2V1;5;2;2;1;0
S5PPRRP2V1;5;2;3;1;0
S5PPRRP2V1;5;2;8;1;0
S5PPRRP2V1;5;3;1;1;0
S5PPRRP2V1;5;3;2;1;0
S5PPRRP2V1;5;3;3;1;0
S5PPRRP2V1;5;3;8;1;0
S5PPRRP2V1;5;4;1;1;0
S5PPRRP2V1;5;4;2;1;0
S5PPRRP2V1;5;4;3;1;0
S5PPRRP2V1;5;4;8;1;0
S5PPRRP2V1;5;9;1;1;0
S5PPRRP2V1;5;9;2;1;0
S5PPRRP2V1;5;9;3;1;0
S5PPRRP2V1;5;9;8;1;0
S5PPRRP3V1;5;1;1;1;0
S5PPRRP3V1;5;1;2;1;0
S5PPRRP3V1;5;1;3;1;0
S5PPRRP3V1;5;1;8;1;0
S5PPRRP3V1;5;2;1;1;0
S5PPRRP3V1;5;2;2;1;0
S5PPRRP3V1;5;2;3;1;0
S5PPRRP3V1;5;2;8;1;0
S5PPRRP3V1;5;3;1;1;0
S5PPRRP3V1;5;3;2;1;0
S5PPRRP3V1;5;3;3;1;0
S5PPRRP3V1;5;3;8;1;0
S5PPRRP3V1;5;4;1;1;0
S5PPRRP3V1;5;4;2;1;0
