Name;Beinkette;Gelenkgruppen
P5PRRRR2G9P8;S5PRRRR2;?
P5PRRRR2V1G9P8;S5PRRRR2V1;?
P5PRRRR3G1P8;S5PRRRR3;?
P5PRRRR3G9P8;S5PRRRR3;?
P5PRRRR3V1G1P8;S5PRRRR3V1;?
P5PRRRR3V1G9P8;S5PRRRR3V1;?
P5PRRRR4G1P8;S5PRRRR4;?
P5PRRRR4G9P8;S5PRRRR4;?
P5PRRRR4V1G1P8;S5PRRRR4V1;?
P5PRRRR4V1G9P8;S5PRRRR4V1;?
P5PRRRR6G10P8;S5PRRRR6;?
P5PRRRR6G2P8;S5PRRRR6;?
P5PRRRR6G3P8;S5PRRRR6;?
P5PRRRR6G9P8;S5PRRRR6;?
P5PRRRR6V1G10P8;S5PRRRR6V1;?
P5PRRRR6V1G2P8;S5PRRRR6V1;?
P5PRRRR6V1G3P8;S5PRRRR6V1;?
P5PRRRR6V1G9P8;S5PRRRR6V1;?
P5PRRRR7G10P8;S5PRRRR7;?
P5PRRRR7G9P8;S5PRRRR7;?
P5PRRRR7V1G10P8;S5PRRRR7V1;?
P5PRRRR7V1G9P8;S5PRRRR7V1;?
P5RPRRR2G1P8;S5RPRRR2;?
P5RPRRR2G9P8;S5RPRRR2;?
P5RPRRR8G9P8;S5RPRRR8;?
P5RPRRR8V1G9P8;S5RPRRR8V1;?
P5RRPRR2G1P8;S5RRPRR2;?
P5RRPRR2G9P8;S5RRPRR2;?
P5RRPRR2V1G1P8;S5RRPRR2V1;?
P5RRPRR2V1G9P8;S5RRPRR2V1;?
P5RRPRR4G1P8;S5RRPRR4;?
P5RRPRR4G9P8;S5RRPRR4;?
P5RRPRR5G1P8;S5RRPRR5;?
P5RRPRR5G9P8;S5RRPRR5;?
P5RRPRR6G1P8;S5RRPRR6;?
P5RRPRR6G9P8;S5RRPRR6;?
P5RRPRR7G9P8;S5RRPRR7;?
P5RRRPR1G1P8;S5RRRPR1;?
P5RRRPR1G9P8;S5RRRPR1;?
P5RRRPR1V1G1P8;S5RRRPR1V1;?
P5RRRPR1V1G9P8;S5RRRPR1V1;?
P5RRRPR2G1P8;S5RRRPR2;?
P5RRRPR2G9P8;S5RRRPR2;?
P5RRRPR4G9P8;S5RRRPR4;?
P5RRRPR4V1G9P8;S5RRRPR4V1;?
P5RRRRR5G1P8;S5RRRRR5;?
P5RRRRR5G9P8;S5RRRRR5;?
P5RRRRR5V1G1P8;S5RRRRR5V1;?
P5RRRRR5V1G9P8;S5RRRRR5V1;?
P5RRRRR6G1P8;S5RRRRR6;?
P5RRRRR6G9P8;S5RRRRR6;?
P5RRRRR6V1G1P8;S5RRRRR6V1;?
P5RRRRR6V1G9P8;S5RRRRR6V1;?
